"Country","Number_Ordered","Weapon","Weapon_Type","Date_Ordered","Date_Delivered","Number_Delivered","Comments"
"Afghanistan","188.0","M-113","APC","2004.0","2005","188","Second-hand; aid; M-113A2 version; incl 15 M-577A2 CP version"
"Afghanistan","800.0","HMMWV Up-Armoured","APV","2006.0","2007-2008","800","Second-hand; aid"
"Afghanistan","4735.0","HMMWV Up-Armoured","APV","2008.0","2008-2011","4735","$760 m deal; aid; M-1151 and M-1152 versions"
"Afghanistan","4002.0","HMMWV Up-Armoured","APV","2010.0","2011-2013","4002","Part of $1 b deal; M-1152A1B2 version; incl for police"
"Afghanistan","237.0","HMMWV Up-Armoured","APV","2010.0","2012","237","$45 m deal; incl 137 M-1152 and 100 M-1151 version"
"Afghanistan","2566.0","HMMWV Up-Armoured","APV","2010.0","2011-2012","2566","Second-hand; M-1114 version"
"Afghanistan","41.0","ASV-150/M-1117","APC","2011.0","2011-2012","41",""
"Afghanistan","240.0","ASV-150/M-1117","APC","2011.0","2012-2013","240","$257 m deal; MSFV version; incl command, ARV, AEV, ambulance and mortar carrier versions"
"Afghanistan","6.0","Cessna-180 Skywagon","Light aircraft","2011.0","2011","6","Part of $88 m deal; Cessna-182T version; for training"
"Afghanistan","26.0","Cessna-208 Caravan","Light transport ac","2011.0","2011-2012","26","Part of $88 m deal; Cessna-208B version"
"Afghanistan","744.0","HMMWV Up-Armoured","APV","2011.0","2012","744",""
"Afghanistan","6.0","MD-500E","Light helicopter","2011.0","2011","6","$17-20 m aid; MD-530F version; incl for training (but armed 2015)"
"Afghanistan","71.0","ASV-150/M-1117","APC","2012.0","2014","71","$79 m deal; MSFV version"
"Afghanistan","136.0","ASV-150/M-1117","APC","2012.0","2013-2014","136","MSFV version"
"Afghanistan","4.0","C-130H Hercules","Transport aircraft","2012.0","2013-2015","4","Second-hand; aid"
"Afghanistan","135.0","ASV-150/M-1117","APC","2013.0","2014-2015","135","$113 m deal; MSFV version"
"Afghanistan","222.0","MaxxPro","APC","2014.0","2015","222","Second-hand; incl 20 recovery vehicle version"
"Afghanistan","12.0","MD-500E","Light helicopter","2014.0","2015","12","Armed MD-530F version"
"Afghanistan","55.0","ASV-150/M-1117","APC","2015.0","2015","55",""
"Afghanistan","12.0","MD-500E","Light helicopter","2015.0","2016","12","Armed MD-530F version"
"Afghanistan","65.0","ScanEagle","UAV","2015.0","2016-2017","45","$71 m deal; delivery 2016-2018"
"Afghanistan","1673.0","HMMWV Up-Armoured","APV","2016.0","2016-2017","1673","$356 m deal; incl 1259 M-1151A1B1 and 414 M-1151A1B2 version"
"Afghanistan","433.0","HMMWV Up-Armoured","APV","2016.0","2017","433","$109 m deal; incl 360 M-1152A1B2 and 73 M-1151A1B1 version"
"Afghanistan","53.0","S-70/UH-60A","Helicopter","2016.0","2017","4","Second-hand but modernized to UH-60A+ before delivery; aid; delivery planned 2017-2019"
"Afghanistan","55.0","ASV-150/M-1117","APC","2017.0","","","Delivery planned from 2018; option on 200 more"
"Afghanistan","7.0","Cessna-208 Caravan","Light transport ac","2017.0","","","Armed Cessna-208B version; aid; selected but not yet ordered by end-2017"
"Afghanistan","150.0","MD-500E","Light helicopter","2017.0","","","Armed MD-530F version"
"Afghanistan","106.0","S-70/UH-60A","Helicopter","2017.0","","","Second-hand; aid; delivery 2019-2022"
"African Union**","20.0","M-ATV","APV","2015.0","2015","20","Second-hand; aid"
"Albania","3.0","MaxxPro","APC","2016.0","2017","3","Second-hand"
"Algeria","1.0","C-130H-30 Hercules","Transport aircraft","1989.0","1990","1",""
"Algeria","3.0","King Air","Light transport ac","1994.0","1995-1996","3",""
"Algeria","4.0","TPS-70","Air search radar","1998.0","2000-2001","4",""
"Algeria","6.0","Beech-1900/C-12J","Light transport ac","2000.0","2001","6",""
"Algeria","6.0","Beech-1900D MMSA","AGS aircraft","2000.0","2001-2002","6","$196-206 m deal; incl for SIGINT and use against GIA rebels"
"Algeria","3.0","Bell-412","Helicopter","2001.0","2002","3","Bell-412EP version; from Canadian production line"
"Algeria","8.0","King Air","Light transport ac","2009.0","2010-2011","8","Incl 2 King Air C-90 and 6 King Air-300 or King Air-350 version"
"Algeria","2.0","LM-2500","Gas turbine","2012.0","2016","2","For 2 MEKO-A200 frigates from FRG"
"Algeria","12.0","T-800","Turboshaft","2012.0","2015-2016","12","For 6 Super Lynx ASW helicopters from UK"
"Angola","2.0","APS-128","MP aircraft radar","1990.0","1994","2","For 2 C-212-300MPA MP aircraft delivered from Spain"
"Angola","4.0","TPE-331","Turboprop","1990.0","1994","4","For 2 C-212 MP aircraft from Spain"
"Angola","6.0","Cessna-172/T-41","Trainer/light ac","2012.0","2013","6","Cessna-172R version"
"Argentina","18.0","TFE-731","Turbofan","1980.0","1988-1990","18","For 18 IA-63 trainer/combat aircraft produced in Argentina"
"Argentina","3.0","APS-128","MP aircraft radar","1988.0","1990","3","For 3 C-212-300MPA MP aircraft"
"Argentina","3.0","MD-500E","Light helicopter","1989.0","1990","3","MD-530F version"
"Argentina","1.0","PA-31 Navajo","Light transport ac","1989.0","1990","1","For navaid calibration"
"Argentina","10.0","TPE-331","Turboprop","1989.0","1995-2002","10","For modernization of 5 S-2E ASW aircraft to S-2ET in Israel"
"Argentina","3.0","C-130B Hercules","Transport aircraft","1992.0","1994","3","Second-hand; aid"
"Argentina","2.0","C-130B Hercules","Transport aircraft","1992.0","1992","2","Second-hand"
"Argentina","10.0","OV-1 Mohawk","Reconnaissance ac","1992.0","1992-1995","10","Second-hand; OV-1D version; 13 more for spares only"
"Argentina","25.0","Bell-205/UH-1H","Helicopter","1993.0","1992-2001","25","Second-hand; aid"
"Argentina","1.0","Maumee","Tanker","1993.0","1993","1","Second-hand"
"Argentina","1.0","Navajo/ATF","Tug","1993.0","1994","1","Second-hand; aid; for use as OPV; Argentinian designation Irigoyen"
"Argentina","4.0","RDR-1500","MP aircraft radar","1993.0","1996","4","For 4 AS-555 helicopters from France"
"Argentina","3.0","S-2E Tracker","ASW aircraft","1993.0","1995","3","Second-hand; S-2G version; may incl some for spares only"
"Argentina","36.0","A-4AR Skyhawk","FGA aircraft","1994.0","1997-2000","36","Second-hand A-4M/OA-4M and TA-4F version modernized to A-4AR version; ; $208-282 m deal; incl 8 modernized in USA and 28 in Argentina with US components; incl 4 TA-4AR"
"Argentina","8.0","APS-94","AGS radar","1995.0","1997","8","Second-hand; for use on OV-1D reconnaissance aircraft"
"Argentina","16.0","Bell-205/UH-1H","Helicopter","1996.0","1997-2000","16","Second-hand; aid"
"Argentina","2.0","Model-300","Light helicopter","1996.0","1996","2","Schweizer-300C version; for Coast Guard"
"Argentina","6.0","P-3B Orion","ASW aircraft","1996.0","1998-1999","6","Second-hand; aid; 2 more delivered for spares only"
"Argentina","1.0","Boeing-707","Transport aircraft","1997.0","1997","1","Second-hand"
"Argentina","2.0","Schweizer-330","Light helicopter","1997.0","1997","2","For coast guard; for training"
"Argentina","1.0","Learjet-60","Light transport ac","1998.0","1998","1","For military VIP transport"
"Argentina","1.0","TFE-731","Turbofan","1998.0","1999","1","For 1 IA-63 trainer/combat aircraft produced in Argentina"
"Argentina","25.0","M-106","Self-propelled mortar","1999.0","2000","25","Second-hand; 'EDA' aid"
"Argentina","57.0","M-113","APC","1999.0","2000","57","Second-hand; aid"
"Argentina","20.0","M-113","APC","1999.0","2000","20","Second-hand; aid; M-577 CP version"
"Argentina","42.0","BGM-71 TOW","Anti-tank missile","2000.0","2002-2003","42","BGM-71E TOW-2A version"
"Argentina","200.0","AIM-9L Sidewinder","SRAAM","2001.0","2002-2003","200","AIM-9L version; for A-4AR combat aircraft"
"Argentina","2.0","Model-300","Light helicopter","2001.0","2001","2","Schweizer-300C version; for Coast Guard"
"Argentina","1.0","SA-315B Lama","Light helicopter","2001.0","2001","1","Second-hand; incl for SAR"
"Argentina","6.0","TFE-731","Turbofan","2001.0","2004-2008","6","For 6 AT-63 (Phase-2) trainer/combat aircraft produced in Argentina"
"Argentina","2.0","TPS-43","Air search radar","2003.0","2004","2","Second-hand; aid"
"Argentina","9.0","Bell-205/UH-1 Huey-2","Helicopter","2004.0","2005-2008","9","Argentinian UH-1H rebuilt to Huey-2; incl 8 assembled in Argentina"
"Argentina","3.0","TPS-43","Air search radar","2004.0","2004","3","Second-hand; $2 m deal"
"Argentina","5.0","Bell-205/UH-1H","Helicopter","2006.0","2007","5","Second-hand; 1 more for spares only"
"Argentina","11.0","Bell-205/UH-1 Huey-2","Helicopter","2006.0","2010-2017","6","Argentinian UH-1H rebuilt to Huey-2; assembled in Argentina (possibly incl production of components in Argentina)"
"Argentina","4.0","S-61/H-3A Sea King","Transport helicopter","2007.0","2008-2009","4","Second-hand; $18-22 m deal; modernized before delivery; UH-3H version; 2 more for spares only"
"Argentina","5.0","Bell-206/OH-58","Light helicopter","2009.0","2011-2012","5","Bell-206B3 version; for training"
"Argentina","15.0","TFE-731","Turbofan","2009.0","2012-2017","12","For modernisation of 15 AT-63 (Phase-2) trainer/combat aircraft produced in Argentina; TFE-731-40R version"
"Argentina","1.0","Bell-412","Helicopter","2011.0","2013","1","Bell-412EP version; from Canadian production line"
"Argentina","1.0","Bell-412","Helicopter","2014.0","2015","1","Part of $17 m deal; Bell-412EP version from Canadian production line"
"Argentina","1.0","Bell-412","Helicopter","2014.0","2015","1","Second-hand; part of $17 m deal; Bell-412EP version"
"Argentina","1.0","PA-28 Cherokee","Light aircraft","2014.0","2015","1",""
"Argentina","2.0","C-212","Transport aircraft","2015.0","2015","2","Second-hand; C-212-200 version"
"Argentina","2.0","Cessna-208 Caravan","Light transport ac","2015.0","2015","2","Cessna-208B version"
"Argentina","1.0","Citation-2","Light transport ac","2015.0","2015","1","Second-hand"
"Argentina","2.0","Cessna-208 Caravan","Light transport ac","2016.0","2016","2","Cessna-208B version"
"Argentina","4.0","Bell-412","Helicopter","2017.0","2017","4","Bell-412EP version; from Canadian production line"
"Argentina","12.0","PC-9","Trainer aircraft","2017.0","2017","4","T-6C+ armed version"
"Australia","75.0","F/A-18A Hornet","FGA aircraft","1981.0","1985-1990","75","$2.8 b deal; 73 assembled from kits in Australia; incl 18 F/A-18B"
"Australia","2.0","Perry","Frigate","1983.0","1992-1993","2","Australian designation Adelaide"
"Australia","4.0","TPS-77","Air search radar","1998.0","2004-2005","4","AUD125-150 m ($68-90 m) 'Project Air-5375'"
"Australia","4.0","Boeing-737 AEW&C","AEW&C aircraft","2000.0","2009-2010","4","Part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3' (incl production of components and assembly of 2 in Australia); Australian designation A-30"
"Australia","600.0","RIM-162 ESSM","SAM","2002.0","2003-2017","530","For MEKO-200 (Anzac) and modernized Perry (Adelaide) frigates; incl production of components in Australia (as part of NATO Sea Sparrow Consortium)"
"Australia","2.0","Boeing-737 AEW&C","AEW&C aircraft","2004.0","2011-2012","2","AUD326 m ($224 m) deal (part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3'; incl production of components and assembly in Australia); Australian designation A-30"
"Australia","72.0","F-35A JSF","FGA aircraft","2009.0","2014","2","AUD16 b ($13.5 b) 'Project Air-6000' (incl production of components in Australia)"
"Australia","250.0","JDAM","Guided bomb","2011.0","2015-2016","250","JDAM-ER version; incl production of components in Australia"
"Australia","12.0","P-8A Poseidon","ASW aircraft","2014.0","2016-2017","7","Incl production of components in Australia; delivery planned 2016-2020"
"Australia","450.0","AIM-9L Sidewinder","SRAAM","1983.0","1983-1990","450","For F/A-18 combat aircraft"
"Australia","8.0","S-70B/SH-60B Seahawk","ASW helicopter","1986.0","1990-1991","8","$132 m deal; S-70B-2 version; assembled in Australia from kits"
"Australia","28.0","RGM-84 Harpoon","Anti-ship missile","1987.0","1992-1993","28",""
"Australia","100.0","RIM-66B Standard-1MR","SAM","1987.0","1993-1996","100","$50 m deal; for Perry (Adelaide) frigates"
"Australia","25.0","S-70/UH-60A","Helicopter","1987.0","1989-1991","25","Part of $202 m 'Project Air 5046'; S-70A-9 version"
"Australia","8.0","LM-2500","Gas turbine","1989.0","1996-2006","8","For 8 MEKO-200 (Anzac) frigates from FRG"
"Australia","9.0","Mk-15 Phalanx","CIWS","1989.0","1990-1994","9","For frigates, destroyers, AALS and support ships"
"Australia","8.0","Mk-45 127mm","Naval gun","1989.0","1996-2006","8","For 8 MEKO-200 (Anzac) frigates from FRG; Mk-45 Mod-2 version"
"Australia","15.0","Piranha/LAV-25","IFV","1989.0","1991","15","Second-hand; AUD25 m ($17-19 m) 'Project Land-112 Phase-1' or 'ASLAV programme Phase-1'; incl 1 LAV(R) ARV; Australian designation ASLAV"
"Australia","32.0","AIM-7P Sparrow","BVRAAM","1991.0","1996-1999","32","For MEKO-200 (Anzac) frigates; RIM-7P Sea Sparrow (SAM) version"
"Australia","97.0","6V-53","Diesel engine","1992.0","1994-1996","97","For 97 Piranha/LAV-25 (ASLAV) APC and IFV from Canada; 6V-53T version"
"Australia","15.0","FB-111A","Bomber aircraft","1993.0","1993-1994","15","Second-hand; $146 m deal (incl $53 m for aircraft and $65 m for spares, support and minor modifications); F-111G version"
"Australia","2.0","Newport","Landing ship","1993.0","1994","2","Second-hand; 'Joint Project-2027 Phase-1' worth A$70 m; modernized and modified 1996-2000 in Australia after delivery; Australian designation Kanimbla Class"
"Australia","8.0","SPS-49","Air search radar","1993.0","1996-2006","8","For 8 MEKO-200 (Anzac) frigates from FRG; AN/SPS-49V(8) version"
"Australia","50.0","Mk-46 Mod-5 NEARTIP","ASW torpedo","1994.0","1995-1996","50","No. could be up to 100"
"Australia","3.0","P-3B Orion","ASW aircraft","1994.0","1995-1999","3","Second-hand; 'Project Air-5276 Phase-2B' deal worth $7 m incl 1 more for spares only; delivered without ASW equipment; modified in Australia to TAP-3 for training"
"Australia","14.0","6V-53","Diesel engine","1995.0","1996","14","For 14 LAV-25 (ASLAV) IFV from Canada; 6V-53T version"
"Australia","12.0","C-130J-30 Hercules","Transport aircraft","1995.0","1999-2000","12","'Project Air-5216' worth $466-670 m; option on 12 more not used"
"Australia","12.0","RGM-84 Harpoon","Anti-ship missile","1995.0","2000-2001","12","$38 m deal"
"Australia","20.0","AVQ-26 Pave Tack","Aircraft EO system","1996.0","1997","20","Second-hand, for F-111C and F-111G combat aircraft"
"Australia","20.0","Mk-48","AS/ASW torpedo","1996.0","1996-1997","20","Second-hand; $1.8 m deal; Mk-48 Mod-4 version"
"Australia","150.0","6V-53","Diesel engine","1998.0","2002-2005","150","For 150 Piranha (LAV-25 or ASLAV) APC from Canada; 6V-53T version"
"Australia","51.0","AGM-142A/Popeye-1","ASM","1998.0","2001-2004","51","AUD90 m 'Project Air-5398'; AGM-142E version; for F-111C/G combat aircraft"
"Australia","2.0","CH-47D Chinook","Transport helicopter","1998.0","2001","2","$45 m deal"
"Australia","1.0","King Air","Light transport ac","1998.0","1999","1","king Air-350 version; for testing of ground surveillance systems"
"Australia","81.0","LAV-25 turret","IFV turret","1998.0","2003-2005","81","For 81 Piranha/LAV-25 IFV from Canada"
"Australia","5.0","Mk-48","AS/ASW torpedo","1998.0","1999","5","Second-hand; $0.4 m deal; Mk-48 Mod-4 version"
"Australia","299.0","Caterpillar-3126","Diesel engine","1999.0","2005-2007","299","For 299 Bushmaster APC produced in Australia"
"Australia","250.0","AIM-120B AMRAAM","BVRAAM","2000.0","2001-2006","250","'Project Air-5400'; for F/A-18A combat aircraft"
"Australia","71.0","APG-73","Combat ac radar","2000.0","2002-2003","71","AUD250 m deal; for modernization of 71 F/A-18 FGA aircraft"
"Australia","70.0","AGM-142A/Popeye-1","ASM","2001.0","2005-2008","70",""
"Australia","10.0","FGM-148 Javelin","Anti-tank missile","2001.0","2001","10","For use by Australian forces in Afghanistan"
"Australia","7.0","King Air","Light transport ac","2002.0","2003-2004","7","$170 m 10-year lease (bought and owned by Australian company); King Air-350 version; for training"
"Australia","4.0","Mk-41","Naval SAM system","2002.0","2006-2008","4","For modernisation of 4 Perry (Adelaide) frigated"
"Australia","64.0","RGM-84L Harpoon-2","Anti-ship MI/SSM","2002.0","2006-2014","64","AUD170 m ($96 m) 'Project Sea-1348'; RGM-84L Harpoon Block-2 version; for MEKO-200 (Anzac) frigates"
"Australia","676.0","FGM-148 Javelin","Anti-tank missile","2003.0","2005-2007","676","AUD180 m ($100-110 m) 'Project Land-40-1'; delivery 2005-2007"
"Australia","150.0","Mk-48 Mod-5 ADCAP","AS/ASW torpedo","2003.0","2007-2010","150","AUD465 m ($280 m) 'Project Sea-1429'; for Collins submarines"
"Australia","5.0","PSTAR-ER","Air search radar","2003.0","2004-2006","5","Part of AUD110 m ($73 m) 'Project Land-19 Phase-6'; for use with RBS-70 MANPADS"
"Australia","10.0","CF-6/F-103","Turbofan","2004.0","2011-2012","10","For 5 A-330 MRTT tanker/transport aircraft from Spain"
"Australia","59.0","M-1A1 Abrams","Tank","2004.0","2006-2007","59","Part of AUD530-550 m ($420-475 m) 'Project Land-907'; Second-hand M-1A1 rebuilt to M-1A1AIM(D) version"
"Australia","7.0","M-88A2 HERCULES","ARV","2004.0","2006-2007","7","Part of AUD530-550 m ($420-475 m) 'Project Land-907'"
"Australia","100.0","JDAM","Guided bomb","2005.0","2007-2008","100","'AIR-5409' programme"
"Australia","3.0","King Air","Light transport ac","2005.0","2005-2006","3","10-year lease (bought and owned by Australian company); King Air-350 version; incl for surveillance"
"Australia","175.0","Standard Missile-2MR","SAM","2005.0","2008-2014","175","'Project Sea 1390-4B'; SM-2 Block-3A version; for modernized Perry (Adelaide) frigates"
"Australia","12.0","T55-L","Turboshaft","2005.0","2006-2008","12","'Air-9000 Phase-5A' programme; for modernization of 6 Australian CH-47 helicopters."
"Australia","500.0","AGM-114K HELLFIRE","Anti-tank missile","2006.0","2006-2009","500","AUD31 m ($25 m) deal; for AS-665 helicopters"
"Australia","260.0","AGM-158A JASSM","ASM","2006.0","2011-2014","260","AUD350-450 m ($270-350 m) 'Project Air-5418'; for F/A-18 combat aircraft"
"Australia","4.0","C-17A Globemaster-3","Heavy transport ac","2006.0","2006-2008","4","AUD1.9 b ($1.5 b) deal (offsets AUD345 m)"
"Australia","144.0","Caterpillar-3126","Diesel engine","2006.0","2007-2008","144","For 144 Bushmaster APC produced in Australia"
"Australia","3.0","Mk-41","Naval SAM system","2006.0","2017","1","For 3 Hobart destroyers from Spain"
"Australia","50.0","AGM-154 JSOW","Guided bomb","2007.0","2009-2016","50","AGM-154C and AGM-154C-1 versions"
"Australia","24.0","ASQ-228 ATFLIR","Aircraft EO system","2007.0","2010-2011","24","For F/A-18E combat aircraft"
"Australia","253.0","Caterpillar-3126","Diesel engine","2007.0","2008-2010","253","For 253 Bushmaster APC produced in Australia"
"Australia","6.0","Caterpillar-3616","Diesel engine","2007.0","2017","2","For 3 Hobart destroyers from Spain; possibly from Spanish production line"
"Australia","24.0","F/A-18E Super Hornet","FGA aircraft","2007.0","2010-2011","24","AUD6 b ($4.8 b) deal; interim solution to cover gap between F-111 retirement and delivery of F-35; F/A-18F version"
"Australia","6.0","LM-2500","Gas turbine","2007.0","2017","2","For 3 Hobart destroyers from Spain"
"Australia","300.0","RIM-162 ESSM","SAM","2007.0","2017","75","For Hobart destroyers"
"Australia","4.0","ScanEagle","UAV","2007.0","2007","4","Leased for use in Iraq and Afghanistan and Iraq"
"Australia","3.0","Type-2150","ASW sonar","2007.0","2017","1","For 3 Hobart destroyers from Spain"
"Australia","47.0","AIM-9X Sidewinder","SRAAM","2008.0","2009-2010","47",""
"Australia","41.0","Caterpillar-3126","Diesel engine","2008.0","2010","41","For 41 Bushmaster APC produced in Australia"
"Australia","8.0","F414","Turbofan","2008.0","2010-2011","8","Spares for F/A-18E combat aircraft"
"Australia","2.0","LM-2500","Gas turbine","2008.0","2014-2015","2","For 2 BPE (Canberra) AALS from Spain"
"Australia","250.0","M-982 Excalibur","Guided shell","2008.0","2009","250","$40 m deal"
"Australia","3.0","SPY-1F","Air search radar","2008.0","2017","1","For 3 Hobart destroyers from Spain"
"Australia","5.0","King Air","Light transport ac","2009.0","2010","5","King Air-300 version; bought by and leased from Australian company"
"Australia","3.0","SPQ-9","Fire control radar","2009.0","2017","1","For 3 Hobart destroyers from Spain"
"Australia","3.0","Mk-45-4 127mm","Naval gun","2010.0","2017","1","For 3 Hobart destroyers from Spain"
"Australia","10.0","RQ-7 Shadow-200","UAV","2010.0","2011-2012","10","AUD175 m ($157 m) deal (incl 4 control systems); for use in Afghanistan"
"Australia","3.0","Bell-429","Light helicopter","2011.0","2012","3","AUD26 m ($24 m) 4-year lease; for training"
"Australia","1.0","C-17A Globemaster-3","Heavy transport ac","2011.0","2011","1","$300 m deal"
"Australia","101.0","Caterpillar-3126","Diesel engine","2011.0","2012","101","For 101 Bushmaster APC produced in Australia"
"Australia","2.0","CH-47D Chinook","Transport helicopter","2011.0","2012","2","Second-hand"
"Australia","24.0","MH-60R Seahawk","ASW helicopter","2011.0","2013-2016","24","AUD2.6 b ($2.5 b) 'Project Air-9000 Phase-8' ($1.5 b offsets)"
"Australia","20.0","AE-2100","Turboprop","2012.0","2015-2016","20","For 10 C-27J transport aircraft from Italy"
"Australia","1.0","C-17A Globemaster-3","Heavy transport ac","2012.0","2012","1",""
"Australia","214.0","Caterpillar-3126","Diesel engine","2012.0","2012-2014","214","For 214 Bushmaster APC from Ireland"
"Australia","7.0","CH-47F Chinook","Transport helicopter","2012.0","2015","7","AUD514 m ($470 m) 'Project Air-9000 Phase-5C'"
"Australia","200.0","Mk-54 MAKO","ASW torpedo","2012.0","2013-2016","200","For MH-60R helicopters"
"Australia","600.0","AGM-114K HELLFIRE","Anti-tank missile","2013.0","2014-2016","600","For MH-60R helicopters"
"Australia","110.0","AIM-120C AMRAAM","BVRAAM","2013.0","2015-2016","110","$202 m deal; AIM-120C-7 version"
"Australia","12.0","EA-18G Growler","FGA/EW aircraft","2013.0","2015-2017","12","$1.5 b 'Project-5349 Phase-3' programme"
"Australia","1000.0","M-1156 PGK","Guided shell","2013.0","2016-2017","750","Delivery probably 2016-2018"
"Australia","3.0","F414","Turbofan","2014.0","2016","3","Spares for F/A-18E combat aircraft"
"Australia","9.0","Mk-15 Phalanx","CIWS","2014.0","2015-2016","4","Australian Phalanx Block-1A rebuilt to Block-1B"
"Australia","16.0","AGM-88E AARGM","ARM","2015.0","2016-2017","16",""
"Australia","1.0","Bell-429","Light helicopter","2015.0","2016","1","For training"
"Australia","2.0","C-17A Globemaster-3","Heavy transport ac","2015.0","2015","2","AUD700 m ($544 m) deal"
"Australia","2.0","G-550 SIGINT","SIGINT aircraft","2015.0","","","$133 m deal"
"Australia","6.0","M-88A2 HERCULES","ARV","2015.0","2016","6",""
"Australia","3.0","CH-47F Chinook","Transport helicopter","2016.0","2016","3","$180 m deal"
"Australia","80.0","Standard Missile-2MR","SAM","2016.0","2017","40","SM-2 Block-3B version; probably for Hobart destroyers"
"Australia","5.0","G-550 SIGINT","SIGINT aircraft","2017.0","","",""
"Australia","7.0","MQ-4C Triton","UAV","2017.0","","","'Project JP-2062' or 'Air-7000 Phase-1B'; MQ-4CN version; selected but not yet ordered by end-2017"
"Austria","20.0","AIM-9J/P Sidewinder","SRAAM","1992.0","1998","20","AIM-9P version; for S-35O combat aircraft; acquired as reaction to 1991 Yugoslav-Slovenian war"
"Austria","54.0","M-109A5 155mm","Self-propelled gun","1995.0","1997-1998","54","Deal worth $49 m; M-109A5 Plus version; Austrian designation M-109A5"
"Austria","9.0","S-70/UH-60L","Helicopter","2000.0","2002","9","$183 m deal (incl $47 import duties; offsets $394 m); incl for SAR; S-70A-42 version; option on 3 more not used"
"Austria","32.0","6BT","Diesel engine","2016.0","","","For 32 BvS-10 APC from Sweden"
"Azerbaijan","50.0","6BT","Diesel engine","2009.0","2009-2011","50","For 50 Matador and Marauder APC from South Africa; designation uncertain (reported as '300hp Cummins engine')"
"Azerbaijan","90.0","6BT","Diesel engine","2011.0","2012-2014","90","For 90 Matador and Marauder APC from South Africa; designation uncertain (reported as '300hp Cummins engine')"
"Bahamas","2.0","Cessna-411","Light transport ac","1989.0","1990","2","Incl 1 Cessna-402 and 1 Cessna-421C version"
"Bahamas","1.0","LCU-1610","Landing craft","1991.0","1991","1","Second-hand; Bahamas designation Fort Charlotte"
"Bahamas","2.0","Europatrol-250","Patrol craft","1997.0","2000","2","Bahamas designation Bahamas"
"Bahamas","1.0","King Air","Light transport ac","2005.0","2005","1","King Air-350 version"
"Bahamas","1.0","Cessna-208 Caravan","Light transport ac","2007.0","2009","1",""
"Bahrain","75.0","AGM-65 Maverick","ASM","1987.0","1990","75","AGM-65D and AGM-65G version; for F-16C combat aircraft"
"Bahrain","75.0","AIM-7E Sparrow","BVRAAM","1987.0","1991-1992","75","For F-16C combat aircraft"
"Bahrain","75.0","AIM-9L Sidewinder","SRAAM","1987.0","1990","75","For F-16C combat aircraft"
"Bahrain","12.0","F-16C","FGA aircraft","1987.0","1990","12","'Peace Crown-1' deal (partly financed by Saudi Arabia); F-16 Block-40 version; incl 4 F-16D version"
"Bahrain","1.0","S-70/UH-60L","Helicopter","1989.0","1991","1","For VIP transport"
"Bahrain","9.0","M-270 MLRS 227mm","Self-propelled MRL","1990.0","1992","9","$50 m deal; original order for 7 increased to 9"
"Bahrain","27.0","M-60A3 Patton-2","Tank","1990.0","1991","27","Second-hand; $37 m deal; M-60A3 TTS version"
"Bahrain","4.0","LCU-1466","Landing craft","1991.0","1991","4","Second-hand; Bahraini designation Mashtan"
"Bahrain","115.0","M-113","APC","1991.0","1991-1993","115","M-113A2 version"
"Bahrain","25.0","M-60A3 Patton-2","Tank","1991.0","1991","25","Second-hand"
"Bahrain","3.0","AAQ-13 LANTIRN","Combat ac radar","1993.0","1996","3","AAQ-19 Sharpshooter version"
"Bahrain","3.0","AAQ-14 LANTIRN","Aircraft EO system","1993.0","1996","3","AAQ-19 Sharpshooter version"
"Bahrain","22.0","AH-1F Cobra","Combat helicopter","1994.0","1995-1997","22","Second-hand; aid; AH-1E and AH-1P version; incl 6 TAH-1P version"
"Bahrain","190.0","BGM-71 TOW","Anti-tank missile","1994.0","1996","190","BGM-71D TOW-2 version; probably incl for Bell-209/AH-1E helicopters"
"Bahrain","1.0","I-HAWK","SAM system","1995.0","1997","1","Second-hand; aid"
"Bahrain","49.0","M-110A2 203mm","Self-propelled gun","1995.0","1997","49","Second-hand; aid"
"Bahrain","60.0","M-60A3 Patton-2","Tank","1995.0","1995-1996","60","Second-hand; lease; aid"
"Bahrain","40.0","MIM-23B HAWK","SAM","1995.0","1997","40","Second-hand; aid"
"Bahrain","1.0","Perry","Frigate","1995.0","1997","1","Second-hand $64 m aid; Bahraini designation Sabha"
"Bahrain","8.0","RGM-84 Harpoon","Anti-ship missile","1995.0","1997-1998","8","For Perry frigate"
"Bahrain","22.0","RIM-66B Standard-1MR","SAM","1995.0","1997","22","Second-hand; for Perry frigate; aid"
"Bahrain","6.0","M-578","ARV","1996.0","1996","6","Second-hand; aid"
"Bahrain","18.0","Mk-46 Mod-5 NEARTIP","ASW torpedo","1997.0","1997","18","Second-hand; aid"
"Bahrain","10.0","F-16C","FGA aircraft","1998.0","2000","10","$303 m 'Peace Crown-2' deal; F-16 Block-40 version; option on more not used"
"Bahrain","26.0","AIM-120B AMRAAM","BVRAAM","1999.0","2002","26","$110 m deal"
"Bahrain","38.0","M-901 ITV","Tank destroyer","1999.0","2000","38","Second-hand; aid"
"Bahrain","270.0","BGM-71 TOW","Anti-tank missile","2000.0","2001-2002","270","BGM-71E TOW-2A and/or BGM-71F TOW-2B version (possibly incl or only practice TOW-2A missiles)"
"Bahrain","19.0","M-113","APC","2000.0","2001","19","Second-hand; aid; M-113A2 version"
