"Country","Number_Ordered","Weapon","Weapon_Type","Date_Ordered","Date_Delivered","Number_Delivered","Comments"
"Greece","370.0","M-113","APC","2013.0","2014-2015","370","Second-hand; aid; M-113A2 version; incl 145 M-577A2 command post version"
"Greece","106.0","M-901 ITV","Tank destroyer","2013.0","2014-2015","106","Second-hand; aid; M-901A2 version"
"Greece","10.0","CH-47D Chinook","Transport helicopter","2015.0","2016-2017","10","Second-hand; $126 m deal; CH-47SD version"
"Greece","10.0","FIM-92 Stinger","Portable SAM","2015.0","2016","10",""
"Greece","3.0","T55-L","Turboshaft","2015.0","","","Possibly second-hand; spares for CH-47D helicopters"
"Greece","46.0","Bell-206/OH-58D(I)","Combat helicopter","2017.0","","","Second-hand; OH-58D version; 24 more for spares only"
"Guatemala","30.0","6V-53","Diesel engine","1980.0","1981-1991","30","For some 30 Armadillo APC produced in Guatemala"
"Guatemala","5.0","BT-67","Transport aircraft","1992.0","1993-1995","5","Probably Guatemalan C-47 transport aircraft rebuilt to BT-67 in USA"
"Honduras","4.0","MX-7","Light aircraft","2007.0","2008","4","Aid"
"Honduras","3.0","Cessna-208 Caravan","Light transport ac","2011.0","2015-2016","3","Aid"
"Honduras","4.0","MX-7","Light aircraft","2011.0","2011-2012","4","Aid; MXT-7-180 version"
"Hungary","14.0","F404","Turbofan","2001.0","2006-2007","14","For 14 JAS-39 combat aircraft from Sweden; from Swedish production line"
"Hungary","40.0","AIM-120C AMRAAM","BVRAAM","2004.0","2006-2007","40","$25-38 m deal; AIM-120C-5 version; for JAS-39 combat aircraft"
"Hungary","100.0","AGM-65 Maverick","ASM","2008.0","2009-2010","100","For JAS-39 combat aircraft"
"Hungary","3.0","Cougar","APC","2009.0","2009","3","$1.3 m deal; for use in Afghanistan"
"Hungary","46.0","HMMWV Up-Armoured","APV","2010.0","2010-2011","46","Loan for use in Afghanistan; possibly incl non-armoured versions"
"Hungary","12.0","MaxxPro","APC","2010.0","2010-2011","12","MaxxPro Dash version; loan for use in Afghanistan"
"Hungary","12.0","MaxxPro","APC","2013.0","2013","12","Second-hand"
"India","112.0","TPE-331","Turboprop","1983.0","1986-2011","112","For 56 Do-228 MP aircraft from FRG; incl production in India"
"India","8.0","P-8A Poseidon","ASW aircraft","2009.0","2012-2015","8","$2 b deal (offsets 30% incl production of components in India); P-8I version"
"India","28.0","TPE-331","Turboprop","2012.0","2013-2016","28","For 14 Do-228MP MP aircraft from FRG"
"India","6.0","C-130J-30 Hercules","Transport aircraft","2013.0","2017","6","Probably $1.1 b deal (30% offsets including production in India of components for all future C-130J); for special forces"
"India","22.0","AH-64E Apache Guardian","Combat helicopter","2015.0","","","$1.2-1.4 b deal (incl production of components in India; part of $2.4 b deal)"
"India","68.0","TPE-331","Turboprop","2015.0","","","For 68 HTT-40 trainer aircraft produced in India; incl production in India"
"India","4.0","P-8A Poseidon","ASW aircraft","2016.0","","","$1 b deal; delivery 2019/2020-2020/2021"
"India","6.0","AH-64E Apache Guardian","Combat helicopter","2017.0","","","Incl production of components in India; selected but not yet ordered end-2017"
"India","2.0","TPQ-37 Firefinder","Arty locating radar","1990.0","1992","2","$22 m deal"
"India","315.0","Paveway","Guided bomb","1993.0","1994","315","Paveway-2 version"
"India","6.0","LM-2500","Gas turbine","1999.0","2010-2012","6","For 3 Shivalik (Project-17) frigates produced in India; possibly from Italian production line"
"India","8.0","TPQ-37 Firefinder","Arty locating radar","2002.0","2006","8","Part of $142-190 m deal; orginally planned for 1998 but embargoed by USA after Indian nuclear tests in 1998; AN/TPQ-37(V)3 version"
"India","4.0","LM-2500","Gas turbine","2003.0","","","For 1 Vikrant (IAC or Project-71) aircraft carrier produced in India; from Italian production line"
"India","4.0","TPQ-37 Firefinder","Arty locating radar","2003.0","2006-2007","4","Part of $142-190 m deal; AN/TPQ-37(V)3 version"
"India","1.0","Austin","AALS","2006.0","2007","1","Second-hand; INR2.2 b ($48 m) deal (incl modernization); Indian designation Jalashwa"
"India","6.0","S-61/H-3A Sea King","Transport helicopter","2006.0","2007","6","Second-hand; $39 m deal; UH-3H version"
"India","24.0","F404","Turbofan","2007.0","2016-2017","6","$100 m deal; F404-IN20 version for 20 Tejas Mk-1 (LCA) combat aircraft produced in India"
"India","6.0","AE-3007","Turbofan","2008.0","2017","4","For 3 ERJ-145 transport aircraft from Brazil modified in India to AEW&C aircraft"
"India","6.0","C-130J-30 Hercules","Transport aircraft","2008.0","2010-2011","6","$962 m deal (incl $596 m for aircraft and rest for special equipment; 30% offsets incl production in India of components for all future C-130J); for special forces"
"India","512.0","CBU-97 SFW","Guided bomb","2010.0","2013-2017","348","$258-311 m deal; CBU-105 version"
"India","20.0","RGM-84L Harpoon-2","Anti-ship MI/SSM","2010.0","2013","20","$170 m deal; AGM-84L version for Jaguar combat aircraft"
